gdirank,country,genderdev,femalehumandevelopment,malehumandevelopment,femalelifeexpectancy,malelifeexpectancy,femaleexpectededucation,maleexpectededucation,femaleyearseducation,maleyearseducation,femaleincomepercapita,maleincomepercapita,giirank,genderinequality,maternalmortality,adolescentbirthrate,femaleperparliament,femalepersecondaryeducation,malepersecondaryeducation,femalelaborforceparticipation,malelaborforceparticipation,hdirank,hdi,lifeexpectancy,expectededucation,education,incomepercapita,incomerank
126,Namibia,0.981,0.62,0.632,67.3,62.1,11.4,11.3,6.3,6.1,7672.0,11267.0,126,0.401,130.0,54.9,37.7,33.3,34.4,54.7,63.7,126,0.628,64.8,11.3,6.2,9418,-21
128,Guatemala,0.949,0.608,0.641,75.3,68.3,10.2,11.0,5.5,5.7,5021.0,8934.0,128,0.533,140.0,97.2,13.3,21.9,23.2,49.3,88.2,128,0.627,71.8,10.7,5.6,6929,-11
129,Tajikistan,0.926,0.6,0.648,73.2,66.2,10.5,12.0,9.6,11.2,2014.0,3017.0,129,0.357,44.0,42.8,15.2,95.1,91.2,58.9,77.1,129,0.624,69.4,11.2,10.4,2517,27
130,India,0.795,0.525,0.66,69.5,66.6,11.3,11.8,3.6,7.2,2116.0,8656.0,130,0.563,190.0,32.8,12.2,27.0,56.6,27.0,79.9,130,0.609,68.0,11.7,5.4,5497,-4
131,Honduras,0.944,0.583,0.618,75.7,70.7,11.6,10.6,5.5,5.4,2365.0,5508.0,131,0.48,120.0,84.0,25.8,28.0,25.8,42.8,82.9,131,0.606,73.1,11.1,5.5,3938,7
132,Bhutan,0.897,0.572,0.638,69.7,69.2,12.8,12.6,2.0,4.1,5733.0,8418.0,132,0.457,120.0,40.9,8.3,34.0,34.5,66.7,77.2,132,0.605,69.5,12.6,3.0,7176,-17
133,Timor-Leste,0.868,0.548,0.631,70.1,66.5,11.3,12.0,3.6,5.3,3122.0,7530.0,133,,270.0,52.2,38.5,,,24.6,50.8,133,0.595,68.2,11.7,4.4,5363,-6
134,Syrian Arab Republic,0.834,0.52,0.623,76.5,64.0,12.2,12.3,5.4,7.4,864.0,4523.0,134,0.533,49.0,41.6,12.4,29.5,40.5,13.5,72.7,134,0.594,69.6,12.3,6.3,2728,21
134,Vanuatu,0.903,0.587,0.65,74.0,69.9,10.2,10.9,8.0,10.0,2141.0,3445.0,134,,86.0,44.8,0.0,,,61.5,80.0,134,0.594,71.9,10.6,6.8,2803,19
136,Congo,0.922,0.561,0.609,63.9,60.8,10.9,11.3,4.9,6.5,5165.0,6859.0,136,0.593,410.0,126.7,11.5,39.7,47.0,68.5,73.0,136,0.591,62.3,11.1,6.1,6012,-14
137,Kiribati,,,,69.2,62.8,12.7,11.9,,,,,137,,130.0,16.6,8.7,,,,,137,0.59,66.0,12.3,7.8,2434,21
138,Equatorial Guinea,,,,59.0,56.3,,,4.0,7.2,17073.0,24850.0,138,,290.0,112.6,19.7,,,80.7,92.2,138,0.587,57.6,9.0,5.5,21056,-84
139,Zambia,0.917,0.558,0.609,62.0,58.2,13.0,13.9,5.8,7.3,3019.0,4452.0,139,0.587,280.0,125.4,12.7,25.8,44.0,73.1,85.6,139,0.586,60.1,13.5,6.6,3734,2
140,Ghana,0.885,0.54,0.61,62.3,60.4,11.0,12.0,5.6,7.9,3200.0,4515.0,140,0.554,380.0,58.4,10.9,45.2,64.7,67.3,71.4,140,0.579,61.4,11.5,7.0,3852,-1
141,Lao People's Democratic Republic,0.896,0.543,0.606,67.5,64.8,10.1,11.0,3.9,6.1,4086.0,5279.0,141,,,65.0,25.0,22.9,37.0,76.3,79.1,141,0.575,66.2,10.6,5.0,4680,-6
142,Bangladesh,0.917,0.541,0.59,72.9,70.4,10.3,9.7,4.5,5.5,2278.0,4083.0,142,0.503,170.0,80.6,20.0,34.1,41.3,57.4,84.1,142,0.57,71.6,10.0,5.1,3191,5
143,Cambodia,0.89,0.519,0.584,70.3,66.2,10.3,11.5,3.2,5.4,2526.0,3393.0,143,0.477,170.0,44.3,19.0,9.9,22.9,78.8,86.5,143,0.555,68.4,10.9,4.4,2949,7
143,Sao Tome and Principe,0.891,0.52,0.584,68.4,64.4,11.4,11.2,4.0,5.5,1886.0,3976.0,143,,210.0,65.1,18.2,,,45.3,77.8,143,0.555,66.5,11.3,4.7,2918,8
145,Kenya,0.913,0.527,0.577,63.4,59.9,10.7,11.3,5.9,7.3,2255.0,3270.0,145,0.552,400.0,93.6,20.8,25.3,31.4,62.2,72.4,145,0.548,61.6,11.0,6.3,2762,9
145,Nepal,0.908,0.521,0.574,71.1,68.2,12.5,12.2,2.3,4.5,1956.0,2690.0,145,0.489,190.0,73.7,29.5,17.7,38.2,79.9,87.1,145,0.548,69.6,12.4,3.3,2311,16
147,Pakistan,0.726,0.436,0.601,67.2,65.3,7.0,8.5,3.1,6.2,1450.0,8100.0,147,0.536,170.0,27.3,19.7,19.3,46.1,24.6,82.9,147,0.538,66.2,7.8,4.7,4866,-14
148,Myanmar,,,,68.0,63.9,,,4.3,3.8,3873.0,5386.0,148,0.413,200.0,12.1,4.7,22.9,15.3,75.2,82.3,148,0.536,65.9,8.6,4.1,4608,-12
149,Angola,,,,53.8,50.8,8.7,14.0,,,5497.0,8169.0,149,,460.0,170.2,36.8,,,63.3,76.9,149,0.532,52.3,11.4,4.7,6822,-30
150,Swaziland,0.879,0.494,0.561,48.2,49.6,10.9,11.8,7.4,6.8,3894.0,7235.0,150,0.557,310.0,72.0,14.7,21.9,26.0,43.9,71.6,150,0.531,49.0,11.3,7.1,5542,-25
151,Tanzania (United Republic of),0.938,0.504,0.538,66.4,63.5,9.0,9.3,4.5,5.8,2320.0,2502.0,151,0.547,410.0,122.7,36.0,5.6,9.5,88.1,90.2,151,0.521,65.0,9.2,5.1,2411,8
152,Nigeria,0.841,0.468,0.556,53.1,52.4,8.2,9.8,4.9,7.1,4052.0,6585.0,152,,560.0,119.6,6.6,,,48.2,63.7,152,0.514,52.8,9.0,5.9,5341,-24
153,Cameroon,0.879,0.478,0.544,56.7,54.4,9.5,11.2,5.3,6.7,2266.0,3341.0,153,0.587,590.0,115.8,27.1,21.3,34.9,63.8,76.8,153,0.512,55.5,10.4,6.0,2803,-1
154,Madagascar,0.945,0.497,0.526,66.6,63.6,10.2,10.5,6.6,6.1,1098.0,1560.0,154,,440.0,122.8,20.5,,,86.6,90.5,154,0.51,65.1,10.3,6.0,1328,24
155,Zimbabwe,0.922,0.487,0.529,58.9,56.2,10.7,11.0,6.7,7.7,1387.0,1850.0,155,0.504,470.0,60.3,35.1,48.7,62.0,83.2,89.7,155,0.509,57.5,10.9,7.3,1615,13
156,Mauritania,0.816,0.446,0.546,64.5,61.6,8.5,8.5,2.7,4.8,1625.0,5468.0,156,0.61,320.0,73.3,22.2,8.3,20.9,28.7,79.1,156,0.506,63.1,8.5,3.8,3560,-14
156,Solomon Islands,,,,69.4,66.5,8.8,9.7,,,1046.0,2019.0,156,,130.0,64.9,2.0,,,53.4,79.0,156,0.506,67.9,9.2,5.0,1540,16
158,Papua New Guinea,,,,64.8,60.5,,,3.2,4.8,2145.0,2768.0,158,0.611,220.0,62.1,2.7,7.6,14.5,70.5,74.0,158,0.505,62.6,9.9,4.0,2463,-1
159,Comoros,0.813,0.443,0.545,65.0,61.6,11.0,11.9,3.7,5.6,778.0,2123.0,159,,350.0,51.1,3.0,,,35.2,80.1,159,0.503,63.3,11.5,4.6,1456,16
160,Yemen,0.739,0.414,0.56,65.2,62.5,7.7,10.6,1.3,3.8,1595.0,5412.0,160,0.744,270.0,47.0,0.7,8.6,26.7,25.4,72.2,160,0.498,63.8,9.2,2.6,3519,-17
161,Lesotho,0.953,0.482,0.505,49.8,49.6,11.7,10.6,6.5,5.2,2613.0,4017.0,161,0.541,490.0,89.4,26.8,21.9,19.0,59.0,73.5,161,0.497,49.8,11.1,5.9,3306,-16
162,Togo,0.831,0.439,0.527,60.4,58.9,10.9,13.4,3.0,6.3,1084.0,1376.0,162,0.588,450.0,91.5,17.6,16.1,40.3,80.6,81.3,162,0.484,59.7,12.2,4.5,1228,17
163,Haiti,,,,64.9,60.7,,,4.2,5.6,1379.0,1966.0,163,0.603,380.0,42.0,3.5,22.4,35.2,60.9,71.0,163,0.483,62.8,8.7,4.9,1669,4
163,Rwanda,0.957,0.472,0.493,67.0,61.1,10.4,10.2,3.2,4.3,1312.0,1612.0,163,0.4,320.0,33.6,57.5,8.0,8.8,86.4,85.3,163,0.483,64.2,10.3,3.7,1458,11
163,Uganda,0.886,0.452,0.51,60.3,56.7,9.7,9.9,4.5,6.3,1226.0,1997.0,163,0.538,360.0,126.6,35.0,22.9,33.5,75.8,79.2,163,0.483,58.5,9.8,5.4,1613,6
166,Benin,0.823,0.431,0.524,61.0,58.1,9.4,12.7,2.1,4.6,1493.0,2043.0,166,0.614,340.0,90.2,8.4,11.3,27.0,67.6,78.3,166,0.48,59.6,11.1,3.3,1767,0
167,Sudan,0.83,0.428,0.516,65.0,62.0,6.7,7.3,2.5,3.8,1882.0,5722.0,167,0.591,360.0,84.0,23.8,12.1,18.2,31.3,76.0,167,0.479,63.5,7.0,3.1,3809,-27
168,Djibouti,,,,63.7,60.4,5.9,6.9,,,2019.0,4522.0,168,,230.0,18.6,12.7,,,36.3,67.7,168,0.47,62.0,6.4,3.8,3276,-22
169,South Sudan,,,,56.7,54.7,,,4.5,5.8,,,169,,730.0,75.3,24.3,,,,,169,0.467,55.7,7.6,5.4,2332,-9
170,Senegal,0.883,0.436,0.494,68.3,64.5,7.8,8.1,1.8,3.2,1657.0,2739.0,170,0.528,320.0,94.4,42.7,7.2,15.4,66.0,88.0,170,0.466,66.5,7.9,2.5,2188,-8
171,Afghanistan,0.6,0.328,0.546,61.6,59.2,7.2,11.3,1.2,5.1,506.0,3227.0,171,0.693,400.0,86.8,27.6,5.9,29.8,15.8,79.5,171,0.465,60.4,9.3,3.2,1885,-7
172,Côte d'Ivoire,0.81,0.41,0.507,52.4,50.7,7.9,10.0,3.2,5.3,2146.0,4157.0,172,0.679,720.0,130.3,9.2,14.0,30.1,52.4,81.4,172,0.462,51.5,8.9,4.3,3171,-24
173,Malawi,0.907,0.423,0.467,63.7,61.7,10.8,10.7,3.4,5.2,679.0,815.0,173,0.611,510.0,144.8,16.7,11.1,21.6,84.6,81.5,173,0.445,62.8,10.8,4.3,747,13
174,Ethiopia,0.84,0.403,0.479,66.0,62.2,8.0,9.0,1.4,3.6,1090.0,1765.0,174,0.558,420.0,78.4,25.5,7.8,18.2,78.2,89.3,174,0.442,64.1,8.5,2.4,1428,2
175,Gambia,0.889,0.414,0.466,61.6,58.9,8.7,8.9,2.0,3.7,1267.0,1753.0,175,0.622,430.0,115.8,9.4,17.4,31.5,72.2,82.9,175,0.441,60.2,8.8,2.8,1507,-2
176,Congo (Democratic Republic of the),0.833,0.393,0.472,60.1,57.2,8.6,10.8,4.5,7.7,597.0,765.0,176,0.673,730.0,135.3,8.2,12.8,32.4,70.7,73.2,176,0.433,58.7,9.8,6.0,680,11
177,Liberia,0.789,0.387,0.491,61.8,59.9,8.9,12.4,2.6,5.8,678.0,930.0,177,0.651,640.0,117.4,10.7,15.4,39.3,58.2,64.8,177,0.43,60.9,9.5,4.1,805,7
178,Guinea-Bissau,,,,57.0,53.4,,,,,1135.0,1593.0,178,,560.0,99.3,13.7,,,68.2,78.5,178,0.42,55.2,9.0,2.8,1362,-1
179,Mali,0.776,0.363,0.468,57.8,58.2,7.5,9.3,1.5,2.7,961.0,2195.0,179,0.677,550.0,175.6,9.5,7.7,15.1,50.8,81.4,179,0.419,58.0,8.4,2.0,1583,-8
180,Mozambique,0.881,0.39,0.443,56.5,53.6,8.8,9.8,2.4,4.3,1040.0,1210.0,180,0.591,480.0,137.8,39.6,1.4,6.2,85.5,82.8,180,0.416,55.1,9.3,3.2,1123,1
181,Sierra Leone,0.814,0.37,0.454,51.4,50.4,7.2,10.0,2.2,4.0,1582.0,1981.0,181,0.65,1100.0,100.7,12.4,10.0,21.7,65.7,69.0,181,0.413,50.9,8.6,3.1,1780,-16
182,Guinea,0.778,0.358,0.46,59.2,58.3,7.3,10.0,1.4,3.7,877.0,1314.0,182,,650.0,131.0,21.9,,,65.6,78.3,182,0.411,58.8,8.7,2.4,1096,0
183,Burkina Faso,0.881,0.376,0.427,59.9,57.3,7.4,8.1,1.0,1.9,1325.0,1859.0,183,0.631,400.0,115.4,13.3,0.9,3.2,77.1,90.0,183,0.402,58.7,7.8,1.4,1591,-13
184,Burundi,0.911,0.381,0.418,58.7,54.8,9.6,10.7,2.2,3.1,693.0,825.0,184,0.492,740.0,30.3,34.9,5.3,8.3,83.3,82.0,184,0.4,56.7,10.1,2.7,758,1
185,Chad,0.768,0.338,0.44,52.7,50.5,5.9,8.9,1.0,2.9,1657.0,2513.0,185,0.706,980.0,152.0,14.9,1.7,9.9,64.0,79.2,185,0.392,51.6,7.4,1.9,2085,-22
186,Eritrea,,,,65.9,61.6,,,,,971.0,1290.0,186,,380.0,65.3,22.0,,,80.0,89.8,186,0.391,63.7,4.1,3.9,1130,-6
187,Central African Republic,0.773,0.303,0.392,52.6,48.8,5.9,8.6,2.8,5.7,476.0,689.0,187,0.655,880.0,98.3,12.5,10.1,26.7,72.6,85.1,187,0.35,50.7,7.2,4.2,581,1
188,Niger,0.729,0.287,0.394,62.4,60.6,4.8,6.1,0.8,2.0,491.0,1319.0,188,0.713,630.0,204.8,13.3,2.4,7.8,40.0,89.7,188,0.348,61.4,5.4,1.5,908,-5
