iso_code,lastdate,location,total_cases,total_deaths,total_cases_mill,total_deaths_mill,population,population_density,median_age,gdp_per_capita,aged_65_older,total_tests_thous,life_expectancy,hospital_beds_thous,diabetes_prevalence,region
SVK,2021-07-07,Slovakia,391780.0,12516.0,71759.271,2292.458,5459643.0,113.12799999999999,41.2,30155.152000000002,15.07,,77.54,5.82,7.29,Eastern Europe
SVN,2021-07-07,Slovenia,257550.0,4422.0,123885.726,2127.054,2078932.0,102.619,44.5,31400.84,19.062,,81.32,4.5,7.25,Eastern Europe
SLB,2021-07-07,Solomon Islands,20.0,,29.116999999999997,,686878.0,21.840999999999998,20.8,2205.923,3.5069999999999997,,73.0,1.4,18.68,Oceania / Aus
SOM,2021-07-07,Somalia,14995.0,775.0,943.4839999999999,48.763000000000005,15893219.0,23.5,16.8,,2.7310000000000003,,57.4,0.9,6.05,East Africa
ZAF,2021-07-07,South Africa,2112336.0,63039.0,35615.961,1062.897,59308690.0,46.754,27.3,12294.876,5.343999999999999,,64.13,2.32,5.52,Southern Africa
KOR,2021-07-07,South Korea,164028.0,2034.0,3199.349,39.673,51269183.0,527.967,43.4,35938.373999999996,13.914000000000001,207.215,83.03,12.27,6.8,East Asia
SSD,2021-07-07,South Sudan,10886.0,117.0,972.5089999999999,10.452,11193729.0,,19.2,1569.888,3.4410000000000003,,57.85,,10.43,East Africa
ESP,2021-07-07,Spain,3897996.0,80969.0,83371.064,1731.78,46754783.0,93.105,45.5,34272.36,19.436,,83.56,2.97,7.17,Western Europe
LKA,2021-07-07,Sri Lanka,268676.0,3351.0,12547.185,156.49200000000002,21413250.0,341.955,34.1,11669.077,10.068999999999999,,76.98,3.6,10.68,South Asia
SDN,2021-07-07,Sudan,36805.0,2760.0,839.3530000000001,62.943000000000005,43849269.0,23.258000000000003,19.7,4466.5070000000005,3.548,,65.31,0.8,15.67,East Africa
SUR,2021-07-07,Suriname,22788.0,559.0,38845.345,952.8939999999999,586634.0,3.612,29.6,13767.118999999999,6.933,,71.68,3.1,12.54,South America
SWE,2021-07-07,Sweden,1092083.0,14639.0,108134.845,1449.511,10099270.0,24.718000000000004,41.0,46949.282999999996,19.985,,82.8,2.22,4.79,Western Europe
CHE,2021-07-07,Switzerland,704352.0,10896.0,81384.52799999999,1258.981,8654618.0,214.243,43.1,57410.166,18.436,,83.78,4.53,5.59,Western Europe
SYR,2021-07-07,Syria,25735.0,1893.0,1470.516,108.167,17500657.0,,21.7,,,,72.7,1.5,,West Asia
TWN,2021-07-07,Taiwan,15128.0,715.0,635.183,30.021,23816775.0,,42.2,,,,80.46,,,East Asia
TJK,2021-07-07,Tajikistan,13690.0,97.0,1435.365,10.17,9537642.0,64.281,23.3,2896.913,3.466,,71.1,4.8,7.11,Central Asia
TZA,2021-07-07,Tanzania,509.0,21.0,8.521,0.35200000000000004,59734213.0,64.699,17.7,2683.304,3.108,,65.46,0.7,5.75,East Africa
THA,2021-07-07,Thailand,301172.0,2387.0,4314.786,34.198,69799978.0,135.132,40.1,16277.671,11.373,,77.15,2.1,7.04,East Asia
TLS,2021-07-07,Timor,9594.0,25.0,7276.771,18.962,1318442.0,87.176,18.0,6570.102,3.556,,69.5,5.9,6.86,East Asia
TGO,2021-07-07,Togo,14140.0,132.0,1707.99,15.944,8278737.0,143.366,19.4,1429.8129999999999,2.839,,61.04,0.7,6.15,West Africa
TON,2021-06-21,Tonga,,,,,105697.0,150.028,22.3,5425.621,5.82,,70.91,2.6,15.42,Oceania / Aus
TTO,2021-07-07,Trinidad and Tobago,33920.0,918.0,24237.382999999998,655.953,1399491.0,266.88599999999997,36.2,28763.071,10.014,,73.51,3.0,10.97,Caribbean
TUN,2021-07-07,Tunisia,464914.0,15735.0,39337.425,1331.374,11818618.0,74.22800000000001,32.7,10849.296999999999,8.001,154.005,76.7,2.3,8.52,North Africa
TUR,2021-07-07,Turkey,5459923.0,50048.0,64737.769,593.414,84339067.0,104.914,31.6,25129.341,8.152999999999999,,77.69,2.81,12.13,West Asia
TKM,2021-04-04,Turkmenistan,,,,,6031187.0,12.253,26.9,16389.023,4.277,,68.19,7.4,7.11,Central Asia
TCA,2021-07-02,Turks and Caicos Islands,,,,,38718.0,37.312,,,,,80.22,,,Caribbean
TUV,2021-06-15,Tuvalu,,,,,11792.0,373.06699999999995,,3575.1040000000003,,,67.57,,27.25,Oceania / Aus
UGA,2021-07-07,Uganda,84979.0,2012.0,1857.83,43.986999999999995,45741000.0,213.75900000000001,16.4,1697.707,2.168,,63.37,0.5,2.5,East Africa
UKR,2021-07-07,Ukraine,2307068.0,54860.0,52752.566,1254.4089999999999,43733759.0,77.39,41.4,7894.393,16.462,250.732,72.06,8.8,7.11,Eastern Europe
ARE,2021-07-07,United Arab Emirates,644114.0,1847.0,65125.172,186.747,9890400.0,112.44200000000001,34.0,67293.483,1.1440000000000001,,77.97,1.2,17.26,West Asia
GBR,2021-07-07,United Kingdom,5007964.0,128565.0,73770.19900000001,1893.8370000000002,67886004.0,272.89799999999997,40.8,39753.244,18.517,,81.32,2.54,4.28,Western Europe
USA,2021-07-07,United States,33770444.0,606218.0,102024.695,1831.46,331002647.0,35.608000000000004,38.3,54225.445999999996,15.413,,78.86,2.77,10.79,North America
URY,2021-07-07,Uruguay,374665.0,5758.0,107856.77699999999,1657.586,3473727.0,19.750999999999998,35.6,20551.409,14.655,826.664,77.91,2.8,6.93,South America
UZB,2021-07-07,Uzbekistan,114039.0,758.0,3407.282,22.648000000000003,33469199.0,76.134,28.2,6253.104,4.468999999999999,,71.72,4.0,7.57,Central Asia
VUT,2021-07-07,Vanuatu,4.0,1.0,13.023,3.2560000000000002,307150.0,22.662,23.1,2921.909,4.394,,70.47,,12.02,Oceania / Aus
VAT,2021-07-07,Vatican,27.0,,33374.536,,809.0,,,,,,75.12,,,Western Europe
VEN,2021-07-07,Venezuela,280980.0,3239.0,9881.155999999999,113.905,28435943.0,36.253,29.0,16745.022,6.614,,72.06,0.8,6.47,South America
VNM,2021-07-07,Vietnam,23385.0,102.0,240.24400000000003,1.048,97338583.0,308.127,32.6,6171.884,7.15,,75.4,2.6,6.0,East Asia
WLF,2021-07-06,Wallis and Futuna,,,,,11246.0,,,,,,79.94,,,Oceania / Aus
YEM,2021-07-07,Yemen,6934.0,1364.0,232.482,45.732,29825968.0,53.508,20.3,1479.1470000000002,2.9219999999999997,,66.12,0.7,5.35,West Asia
ZMB,2021-07-07,Zambia,169003.0,2618.0,9192.962,142.407,18383956.0,22.995,17.7,3689.2509999999997,2.48,,63.89,2.0,3.94,Southern Africa
ZWE,2021-07-07,Zimbabwe,60227.0,1973.0,4052.163,132.746,14862927.0,42.729,19.6,1899.775,2.822,,61.49,1.7,1.82,Southern Africa
